user_id,amount,timestamp,device_id,receiver,hour,is_night,time_gap,device_change,location_change,is_fraud
1,860.92,2026-01-04T11:36:59.972147,device_1_1,merchant_1_1,11,0,2274.0,0,0,0
1,981.18,2026-01-04T12:27:39.972147,device_1_1,merchant_1_1,12,0,3040.0,0,1,0
1,1681.93,2026-01-04T12:33:03.972147,device_1_1,merchant_1_1,12,0,324.0,0,0,0
1,90.52,2026-01-04T13:25:43.972147,device_1_1,merchant_1_1,13,0,3160.0,0,0,0
1,1190.03,2026-01-04T14:10:40.972147,device_1_1,merchant_1_1,14,0,2697.0,0,0,0
1,1127.85,2026-01-04T14:25:24.972147,device_1_1,merchant_1_1,14,0,884.0,0,0,0
1,1477.34,2026-01-04T14:28:38.972147,device_1_57,merchant_1_1,14,0,194.0,1,0,0
1,1510.63,2026-01-04T15:00:10.972147,device_1_57,merchant_1_1,15,0,1892.0,0,0,0
1,1639.85,2026-01-04T15:48:59.972147,device_1_57,merchant_594,15,0,2929.0,0,0,0
1,909.34,2026-01-04T16:26:06.972147,device_1_57,merchant_382,16,0,2227.0,0,0,0
1,1717.11,2026-01-04T16:41:01.972147,device_1_57,merchant_382,16,0,895.0,0,0,0
1,457.03,2026-01-04T17:40:35.972147,device_1_57,merchant_382,17,0,3574.0,0,0,0
1,1540.34,2026-01-04T17:44:11.972147,device_1_57,merchant_382,17,0,216.0,0,0,0
1,1864.55,2026-01-04T17:56:57.972147,device_1_57,merchant_382,17,0,766.0,0,0,0
1,1841.01,2026-01-04T18:18:48.972147,device_1_7,merchant_382,18,0,1311.0,1,0,0
1,211.51,2026-01-04T18:36:58.972147,device_1_53,merchant_382,18,0,1090.0,1,0,0
1,559.73,2026-01-04T19:10:33.972147,device_1_53,merchant_382,19,0,2015.0,0,0,0
1,1330.12,2026-01-04T19:32:41.972147,device_1_53,merchant_382,19,0,1328.0,0,0,0
1,1187.83,2026-01-04T19:43:03.972147,device_1_53,merchant_382,19,0,622.0,0,0,0
1,1931.07,2026-01-04T20:07:21.972147,device_1_53,merchant_382,20,0,1458.0,0,0,0
1,1137.91,2026-01-04T20:55:52.972147,device_1_53,merchant_382,20,0,2911.0,0,0,0
1,804.7,2026-01-04T21:36:50.972147,device_1_53,merchant_382,21,0,2458.0,0,0,0
1,549.78,2026-01-04T22:15:08.972147,device_1_53,merchant_382,22,0,2298.0,0,0,0
1,1632.89,2026-01-04T22:28:40.972147,device_1_53,merchant_382,22,0,812.0,0,1,0
1,1386.87,2026-01-04T22:33:08.972147,device_1_53,merchant_251,22,0,268.0,0,0,0
1,1931.08,2026-01-04T22:58:37.972147,device_1_6,merchant_251,22,0,1529.0,1,1,0
1,1955.35,2026-01-04T23:36:35.972147,device_1_6,merchant_251,23,0,2278.0,0,0,0
1,1040.47,2026-01-04T23:53:03.972147,device_1_6,merchant_809,23,0,988.0,0,1,0
1,1630.3,2026-01-05T00:04:14.972147,device_1_6,merchant_423,0,1,671.0,0,0,0
1,220.36,2026-01-05T00:39:14.972147,device_1_6,merchant_423,0,1,2100.0,0,0,0
1,1767.23,2026-01-05T00:44:20.972147,device_1_6,merchant_423,0,1,306.0,0,0,0
1,1012.33,2026-01-05T01:01:45.972147,device_1_6,merchant_346,1,1,1045.0,0,0,0
1,1317.34,2026-01-05T01:09:33.972147,device_1_6,merchant_200,1,1,468.0,0,0,0
1,65.09,2026-01-05T01:38:38.972147,device_1_6,merchant_200,1,1,1745.0,0,0,0
1,1237.67,2026-01-05T02:02:02.972147,device_1_6,merchant_200,2,1,1404.0,0,0,0
1,890.12,2026-01-05T02:04:38.972147,device_1_6,merchant_200,2,1,156.0,0,0,0
1,999.99,2026-01-05T02:13:10.972147,device_1_6,merchant_200,2,1,512.0,0,0,0
1,1820.07,2026-01-05T03:01:07.972147,device_1_6,merchant_200,3,1,2877.0,0,0,0
1,1036.4,2026-01-05T03:52:41.972147,device_1_6,merchant_200,3,1,3094.0,0,0,0
1,1429.94,2026-01-05T04:32:46.972147,device_1_6,merchant_200,4,1,2405.0,0,0,0
2,789.89,2026-01-04T11:50:31.972147,device_2_1,merchant_2_1,11,0,3086.0,0,0,0
2,1031.76,2026-01-04T12:33:25.972147,device_2_1,merchant_2_1,12,0,2574.0,0,1,0
2,160.07,2026-01-04T12:36:44.972147,device_2_1,merchant_2_1,12,0,199.0,0,0,0
2,634.54,2026-01-04T13:24:23.972147,device_2_1,merchant_220,13,0,2859.0,0,0,0
2,864.1,2026-01-04T14:23:08.972147,device_2_1,merchant_220,14,0,3525.0,0,0,0
2,594.55,2026-01-04T14:33:38.972147,device_2_4,merchant_220,14,0,630.0,1,0,0
2,368.8,2026-01-04T15:14:33.972147,device_2_4,merchant_220,15,0,2455.0,0,0,0
2,1247.96,2026-01-04T15:46:47.972147,device_2_4,merchant_220,15,0,1934.0,0,0,0
2,1909.78,2026-01-04T16:34:46.972147,device_2_97,merchant_713,16,0,2879.0,1,0,0
